Nº Contrato	Objeto	Função de Governo	Endereço da Obra (completo) 	"Valor Total Contratado 
(Inicial + Aditivos)"	Nome da(s) Empresa(s) Contratada(s)	"Data de Início da Obra
 (Ordem de Serviço)"	"Nível de Execução Física 
(% de medição) até 31/03/2026"	Valor Total Liquidado até 31/03/2026	Data Prevista para Conclusão	Situação da Obra	Motivo da Paralisação da Obra	"Data da Paralisação
 (Ordem de Paralisação)"	Responsável pela Inexecução da Obra	Data Prevista para o reinício da obra 	"A obra foi licitada sob a égide da Nova Lei de Licitações e Contratos (NLLC) - lei nº 14133/2021? Em caso afirmativo: 
a) Divulga no Portal Nacional de Contratações Públicas (PNCP) os quantitativos e os preços unitários e totais contratados até 25 dias úteis após a assinatura  do contrato de obras? (Art. 94 parágrafo 3º);
b) Divulga no Portal Nacional de Contratações Públicas (PNCP) os quantitativos executados e os preços praticados até 45 dias úteis após a conclusão do contrato de obras? (Art.94 parágrafo 3º)."	Gestor do Contrato	Fiscal do Contrato	Observações	Secretaria		
145/2023	Construção  UBS Santa Terezinha.	Saúde	Rua Guerra Junqueiro x Anita Franchinni.	R$ 7.319.000,00	CLD- Construtora Laços Detetores e Eletronica Ltda.	23/10/2023	100%	R$ 6.541.096,57	15/04/2025	Concluída					Não	Samira Regina da Silva Gomes	Bruna Costa Pinto Fontanelli		SS		
066/2023	Construção  UBS Vila São Pedro II .	Saúde	Rua Tiradentes, nº 1800 (dentro do complexo esportivo Regina Rocco) - Ferrazópolis.	R$ 13.413.440,38	Consórcio UBS Vila São Pedro 2.	13/06/2023	100%	R$ 13.227.088,75	24/10/2025	Concluída					Não	Samira Regina da Silva Gomes	Samira Regina da Silva Gomes 		SS		
153/2023	Construção de edifício para o CAPS AD III Infanto Juvenil.	Saúde	Rua José Dias Donadelli, s/nº - Alves Dias.	R$ 8.246.738,66	CLD- Construtora Laços Detetores e Eletronica Ltda.	06/11/2023	26%	R$ 1.658.678,76	19/03/2027	Em andamento					Não	Samira Regina da Silva Gomes	Thiago Seidi Arakaki Suzuki		SS		
143/2024	Reforma e ampliação para implantaçlão do AME+.	Saúde	Rua Secondo Modolin, 450.	R$ 22.333.693,30	Soluções Serviços Tercerizados Ltda.	17/05/2024	31%	R$ 7.049.739,90	17/03/2027	Em andamento					Não	João Luiz Guilger	Ian Oliveira Fraça		SS		
108/2024	Ampliação e reforma  UBS Vila União .	Saúde	Rua dos Operarios, 17.	R$ 8.514.572,63	Castelli Construção Civil e Comércio de Materiaia Ltda. 	05/06/2024	47%	R$ 3.970.680,05	09/11/2026	Em andamento					Não	Samira Regina da Silva Gomes	Ângelo José Cavalcante		SS		
137/2024	Reforma do prédio para implantação da UBS JD Petroni.	Saúde	Alamenda Minas Gerias, 23.	R$ 5.243.555,03	Construtora Marcelo Dantas Ltda.	24/05/2024	100%	R$ 5.145.319,23	31/01/2026	Concluída					Não	Samira Regina da Silva Gomes	Cesar Augusto Rameta Gonçalves Barbosa	Faltando somente realizar a mobilia do local para inaugurar.	SS		
064/2025	Construção UBS Três Marias.	Saúde	Rua Caminho da Educação, 84 - Alves Dias.	R$ 9.241.900,00	Nobre Correia Engenharia e Construção Ltda.	15/08/2025	14%	R$ 968.804,04	08/11/2026	Em andamento					Não	Jacqueline de Andrade Ferraz Americo	Cesar Augusto Rameta Gonçalves Barbosa		SS		
242/2022	Construção CAPS Alcool e Drogas lll Alvarenga.	Saúde	Av. Humberto de Alencar Castelo Branco s/n - Alvarenga.	R$ 6.387.110,66	Construtora Marcelo Dantas Ltda.	27/01/2023	100%	R$ 6.150.464,40	28/05/2024	Concluída					Não	Alexandra Jonathas de Souza	Alexandra Jonathas de Souza		SS		
176/2023	Termo de Contrato para construção do Ecoponto Santa Cruz, Região Pós Balsa - neste Município - Programa de Recuperação e Ordenamento Sociambiental nos Bairros de São Bernardo do Campo-PROSABS/CAF.	Saneamento	Estrada Rio Acima, 13500 - Riacho Grande - São Bernardo do Campo/ SP.	R$ 2.237.177,87	Codal Engenharia Ltda.	23/01/2024	75%	R$ 1.503.215,52	15/06/2026	Em Andamento					Não	Sandro Pussateli	Estherfany Nair de Freitas Gomes		SU		
007/2025	Contratação de empresa para execução de serviço de recuperação de pavimento asfáltico no Bairro Riacho Grande, São Bernardo do Campo.	Transporte	Estrada do Rio Acima, Avenida Francisco Finco, Estrada do Morro Grande, Estrada dos Camponeses, Rua José Farhat e Passagem do Aladino no Bairro Riacho Grande.	R$ 7.146.868,75	Casamax Comercial e Serviços Ltda.	02/04/2025	100%	R$ 4.466.604,92	01/03/2026	Concluída					Sim	Sérgio Francisco dos Santos	João Paulo Lázaro Ferreira		SU		
