Pedido,Município,Protocolo,Data de Cadastro,Prazo de Atendimento,Respondido,Data da Resposta,A resposta atende à informação solicitada?,Link
Informações sobre portais de transparência e de dados,Santo André (SP),2962320265,07/04/2026,08/05/2021,Sim,14/04/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre política de dados abertos,Santo André (SP),2962720263,07/04/2026,08/05/2026,Sim,11/05/2026,Não,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre tratamento de dados pessoais,Santo André (SP),2962820268,07/04/2026,08/05/2026,Sim,14/04/2026,Parcialmente,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre regulamentação da Lei do Governo Digital,Santo André (SP),2962920262,07/04/2026,08/05/2026,Sim,22/04/2026,Não,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre portais de transparência e de dados,São Bernardo do Campo (SP),SB.034927/2026-31,07/04/2026,Não informado,Sim,08/05/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre política de dados abertos,São Bernardo do Campo (SP),SB.034929/2026-53,07/04/2026,Não informado,Sim,08/05/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre tratamento de dados pessoais,São Bernardo do Campo (SP),SB.034932/2026-62,07/04/2026,Não informado,Sim,06/05/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre regulamentação da Lei do Governo Digital,São Bernardo do Campo (SP),SB.034939/2026-89,07/04/2026,Não informado,Sim,08/05/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre portais de transparência e de dados,São Caetano do Sul (SP),1911802,07/04/2026,Não informado,Sim,27/04/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre política de dados abertos,São Caetano do Sul (SP),1911781,07/04/2026,Não informado,Sim,27/04/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
