Termo,Ferramenta de busca,Navegador,Perído inicial,Período final
Política de Dados Abertos Ribeirão Pires (SP),Google Search,Chrome,15/04/2026,15/05/2026
Política de Dados Abertos site:ribeiraopires.sp.gov.br,Google Search,Chrome,15/04/2026,15/05/2026
“Política de Dados Abertos” site:ribeiraopires.sp.gov.br,Google Search,Chrome,15/04/2026,15/05/2026
“Política de Dados Abertos” site:camararp.sp.gov.br,Google Search,Chrome,15/04/2026,15/05/2026
"""Edificações"" * ""licença"" * ""licenciamento"" site:siga.santoandre.sp.gov.br filetype: csv",Google Search,Chrome,15/04/2026,15/05/2026
"""Edificações"" * ""licença"" * ""licenciamento"" site:siga.santoandre.sp.gov.br filetype: shp",Google Search,Chrome,15/04/2026,15/05/2026
"""Edificações"" * ""licença"" * ""licenciamento"" site:santoandre.sp.gov.br filetype: shp",Google Search,Chrome,15/04/2026,15/05/2026
"""Edificações"" site:santoandre.sp.gov.br",Google Search,Chrome,15/04/2026,15/05/2026
"""obras"" site:siga.santoandre.sp.gov.br",Google Search,Chrome,15/04/2026,15/05/2026
Obras Santo André (SP),Google Search,Chrome,15/04/2026,15/05/2026
"""obras"" site:santoandre.sp.gov.br",Google Search,Chrome,15/04/2026,15/05/2026
"""obras"" site:santoandre.sp.gov.br filetype: csv",Google Search,Chrome,15/04/2026,15/05/2026
"""obras"" site:santoandre.sp.gov.br filetype: shp",Google Search,Chrome,15/04/2026,15/05/2026
Alvarás Santo André (SP),Google Search,Chrome,15/04/2026,15/05/2026
Alvarás site:siga.santoandre.sp.gov.br,Google Search,Chrome,15/04/2026,15/05/2026
Alvarás site:santoandre.sp.gov.br,Google Search,Chrome,15/04/2026,15/05/2026
ITBI Santo André (SP),Google Search,Chrome,15/04/2026,15/05/2026
ITBI Santo André (SP) site:siga.santoandre.sp.gov.br,Google Search,Chrome,15/04/2026,15/05/2026
ITBI Santo André (SP) site:santoandre.sp.gov.br,Google Search,Chrome,15/04/2026,15/05/2026
IPTU Santo André (SP),Google Search,Chrome,15/04/2026,15/05/2026
IPTU site:siga.santoandre.sp.gov.br/Catalogo,Google Search,Chrome,15/04/2026,15/05/2026
IPTU site:santoandre.sp.gov.br/Catalogo,Google Search,Chrome,15/04/2026,15/05/2026
Função Social da Propriedade Santo André (SP),Google Search,Chrome,15/04/2026,15/05/2026
PEUC Santo André (SP),Google Search,Chrome,15/04/2026,15/05/2026
Função Social da Propriedade site:siga.santoandre.sp.gov.br,Google Search,Chrome,15/04/2026,15/05/2026
PEUC site:siga.santoandre.sp.gov.br,Google Search,Chrome,15/04/2026,15/05/2026
PEUC site:santoandre.sp.gov.br,Google Search,Chrome,15/04/2026,15/05/2026
